Aug 24 17:01 [comb_PNc2_M1.fits[*,406:440]]: PNc2_M1
    center      cont      flux       eqw      core     gfwhm     lfwhm
  3724.399 -1.03E-16 9.280E-15     INDEF 7.967E-16     10.94        0. (3726+3728)
  3865.986 -1.03E-16 6.403E-15     INDEF 8.402E-16      7.16        0.
  3965.75  -1.22E-16 2.054E-15     INDEF 1.769E-16      10.9        0. (3967+3870)
  4099.827 -7.83E-17 5.676E-16     INDEF 1.040E-16     5.125        0. (lower limit)
  4339.531 -3.64E-17 1.591E-15     INDEF 2.099E-16     7.121        0.
  4361.737 -3.53E-17 8.648E-16     INDEF 1.158E-16     7.017        0.
  4468.917 -2.80E-17 1.936E-16     INDEF 1.852E-17     9.824        0.  (He I?)
  4682.889 5.604E-18 3.819E-15    -681.5 5.318E-16     6.746        0.
  4708.722 5.143E-18 3.405E-16    -66.21 4.740E-17     6.749        0.
  4736.144 5.337E-18 2.366E-16    -44.33 3.194E-17     6.959        0.
  4859.343 7.734E-17 6.888E-15    -89.06 9.920E-16     6.523        0.
  4956.504 1.168E-16 4.606E-14    -394.2 6.362E-15     6.801        0.
  5004.084 1.362E-16 1.481E-13    -1088. 2.112E-14     6.587        0.
  5196.04  6.480E-17 6.623E-16    -10.22 9.341E-17     6.661        0.
  5407.646 8.400E-17 7.630E-16    -9.083 9.501E-17     7.544        0.
  5512.935 9.983E-17 1.554E-16    -1.557 1.848E-17       7.9        0.
   5534.31 1.042E-16 1.871E-16    -1.795 2.481E-17     7.083        0.
   5572.83 1.121E-16 5.980E-16    -5.335 6.440E-17     8.724        0.
  5751.307 1.207E-16 1.031E-15    -8.545 1.475E-16     6.569        0.
  5872.849 1.306E-16 2.320E-15    -17.76 3.090E-16     7.052        0.
  6299.297 1.747E-16 6.385E-15    -36.54 8.696E-16     6.898        0.
   6310.53 1.758E-16 1.198E-15    -6.814 1.599E-16     7.037        0.
  6363.747 1.808E-16 2.238E-15    -12.38 3.072E-16     6.845        0.
   6549.43 3.003E-16 3.276E-14    -109.1 4.251E-15     7.238        0.
  6564.049 3.051E-16 1.260E-13    -413.1 1.652E-14     7.168        0.
  6584.697 3.118E-16 1.046E-13    -335.5 1.367E-14     7.192        0.
   6680.77 2.353E-16 1.120E-15    -4.762 1.487E-16     7.079        0.
  6719.519 2.299E-16 1.071E-14    -46.58 1.438E-15     6.998        0.
   6733.82 2.279E-16 1.187E-14    -52.07 1.562E-15     7.136        0.
  6895.705 2.057E-16 1.905E-16   -0.9257 2.969E-17     6.027        0.

Aug 24 17:49 [comb_PNc2_M2.fits[*,406:442]]: PNc2_M2
    center      cont      flux       eqw      core     gfwhm     lfwhm
  5008.516 2.362E-16 1.054E-13    -446.3 1.480E-14     6.693        0.
  5199.045 6.030E-17 5.152E-16    -8.543 5.194E-17     9.318        0.
  5518.828 8.467E-17 1.264E-16    -1.492 1.494E-17     7.947        0.
  5537.726 8.390E-17 3.174E-16    -3.783 2.412E-17     12.36        0.  (caution, see the gfwhm)
  5576.388 1.014E-16 5.257E-16    -5.184 8.010E-17     6.166        0.
  5754.606 1.072E-16 7.622E-16    -7.113 9.393E-17     7.623        0.
  5876.49  1.176E-16 1.689E-15    -14.36 2.159E-16     7.351        0.
  6300.652 1.351E-16 3.951E-15    -29.25 5.297E-16     7.008        0.
  6313.079 1.362E-16 7.408E-16    -5.438 1.008E-16     6.907        0.
  6363.246 1.409E-16 1.319E-15    -9.366 1.729E-16     7.168        0.
  6548.746 2.295E-16 2.192E-14    -95.48 2.839E-15     7.253        0.
  6563.153 2.342E-16 8.028E-14    -342.8 1.023E-14     7.372        0.
  6583.817 2.408E-16 6.678E-14    -277.3 8.492E-15     7.387        0.
  6679.031 1.806E-16 7.989E-16    -4.424 8.661E-17     8.666        0.
  6716.772 1.775E-16 6.384E-15    -35.96 8.586E-16     6.985        0.
  6731.426 1.765E-16 7.035E-15    -39.86 9.474E-16     6.976        0.
  7006.675 1.723E-16 2.041E-16    -1.184 3.084E-17     6.215        0.
  7065.316 2.050E-16 9.306E-16    -4.539 1.182E-16     7.399        0.
  7136.199 2.084E-16 7.582E-15    -36.38 1.003E-15     7.103        0.
  7320.411 1.937E-16 3.064E-15    -15.81 3.957E-16     7.275        0.
  7330.964 1.937E-16 2.479E-15     -12.8 3.193E-16     7.296        0.
  7282.289 1.743E-16 3.683E-16    -2.113 4.415E-17     7.837        0.
  7751.592 1.974E-16 2.291E-15     -11.6 3.032E-16     7.097        0.
  8046.932 2.241E-16 4.050E-16    -1.807 4.865E-17      7.82        0.
  8237.517 2.094E-16 7.855E-16     -3.75 1.217E-16     6.061        0.
  8414.094 2.008E-16 2.051E-16    -1.021 3.023E-17     6.373        0.
  8467.936 1.943E-16 2.510E-16    -1.292 3.869E-17     6.094        0.
  8580.968 2.064E-16 4.292E-16    -2.079 5.720E-17     7.048        0.
  8598.571 2.065E-16 4.761E-16    -2.306 6.816E-17     6.562        0.
  8666.742 1.916E-16 8.160E-16     -4.26 1.077E-16      7.12        0.
   8727.85 2.257E-16 3.821E-16    -1.693 5.601E-17     6.408        0.
  8751.155 2.262E-16 9.079E-16    -4.015 1.243E-16     6.861        0.
  8863.438 2.556E-16 1.223E-15    -4.783 1.707E-16      6.73        0.
  8920.512 2.652E-16 6.352E-16    -2.395 8.367E-17     7.131        0.

