# Lambda Flux
3706.069891357421 1.360602837151591e-15
3714.0188201904284 1.8253612964309052e-15
3773.635786437987 inf
3843.1889137268054 inf
4163.133299255369 inf
4244.609819793699 7.143291596072233e-16
4278.392767333982 7.596644339181532e-16
4290.316160583494 1.2277859736963183e-15
4322.111875915525 4.4397454768041847e-16
4343.971430206297 5.058051592501161e-16
4361.856520080564 1.5813025285446538e-15
4417.499021911619 1.350627783923856e-15
4455.256433868406 6.62700456334501e-16
4491.026613616941 4.3707153576385583e-16
4634.107332611082 4.0132837028044217e-16
4814.9454635620095 inf
4862.6390365600555 1.4628771151448048e-15
4908.34537734985 3.393388720711833e-16
4926.230467224118 5.246835081067851e-16
5009.6942199707 3.1324843000992037e-16
5021.617613220212 1.0031199444482305e-15
5160.7238677978485 2.3621646518510188e-15
5262.072710418697 1.2280882392910337e-15
5273.996103668209 1.7285966541338013e-15
5317.715212249752 6.764191782322736e-16
5333.6130699157675 8.937893390324418e-16
5377.33217849731 1.0320217821777233e-15
5754.9062980651815 2.0087860433932252e-15
5876.127462768551 4.417030726830749e-16
5923.821035766598 3.869296353040905e-16
6545.824716949457 6.082124581030998e-15
6561.722574615473 7.168700490042778e-14
6581.594896697992 1.6060024023924225e-14
7046.607233428949 1.82769624990503e-15
