# Lambda Flux
4982.165987358093 2.0130790855709678e-16
5013.731733665466 4.343267866960737e-15
5248.501971826554 inf
5319.524901018143 1.851162639607777e-16
5585.860885486604 inf
5881.789757118227 8.59311980549297e-17
6305.954473123553 inf
6554.5347252941165 3.143221913450485e-15
6568.344739303592 6.443675724614256e-15
6590.046189889911 9.6256928363933e-15
6615.693358764652 1.6404835453911068e-16
6625.557654485706 1.3472143996148725e-16
6722.227752552037 2.6635232937884565e-16
6736.037766561512 4.171896511379319e-16
7142.44675026894 9.015443855501365e-16
7325.922650680547 4.738241803579478e-16
7337.759805545812 4.3591569463350777e-16
7460.0770724868835 8.259002203197028e-17
7756.005944118506 3.066725926287951e-16
7807.300281867987 8.777295762390604e-17
7830.974591598517 1.3778180464253107e-16
7854.648901329047 1.2335349453132944e-16
7878.323211059576 2.3987696125418364e-16
7890.160365924841 1.7814998073981865e-16
7898.0518025016845 1.960063409641552e-16
7917.780393943793 3.207027103951342e-16
7933.563267097479 1.2546224859655197e-16
7959.210435972221 2.157346029577906e-16
7971.047590837486 1.7847076785030626e-16
7978.939027414329 2.464380229503246e-16
7986.830463991172 1.9239598438518692e-16
7998.667618856437 4.2586634690213605e-16
8044.043379173286 2.32748388777918e-16
8069.690548048026 2.3114412051045443e-16
8097.310576066978 1.3465554312576795e-16
8111.1205900764535 2.408249947312519e-16
8122.957744941718 1.6290429947051524e-16
8134.794899806983 1.8717872115006222e-16
8754.27267108918 inf
8833.187036857613 1.4364338649510205e-16
8852.915628299721 1.191898674292784e-16
8868.698501453408 3.051867516023191e-16
8894.345670328148 2.2128221307738146e-16
8904.209966049202 2.6894291139912967e-16
8927.884275779734 1.186850785831252e-15
8941.69428978921 3.0587218013338857e-16
8949.585726366053 2.609790047928951e-16
8965.36859951974 4.107748739678426e-16
