# Lambda Flux
4989.322861537943 1.6234480922155596e-14
5009.058450565348 1.6430710321489998e-14
5020.899803981791 1.727409408609824e-14
5046.556069717417 1.3017236178152983e-14
5060.3709820366 1.3432525350672334e-14
5088.000806674967 1.0096875445107016e-14
5113.657072410593 9.57641509291193e-15
5141.28689704896 7.451507840034103e-15
5162.996044979105 1.1851497408438737e-14
5200.493664131174 4.549106949404018e-15
5224.17637096406 3.791357082388421e-15
5236.017724380503 2.2738924077435284e-15
5263.6475490188695 4.089572251795379e-15
5277.462461338053 4.439557723894907e-15
5318.907198295603 1.8224632576916465e-15
5338.642787323008 1.2379795344569856e-15
5380.087524280558 inf
6564.222865924847 1.8713658903001337e-13
6583.9584549522515 4.4752630719755925e-14
6668.821487770092 2.7719440987954677e-15
6690.530635700237 2.2288530901926995e-15
6730.001813755047 3.3022528461054646e-15
6761.578756198895 1.6220162561708064e-15
6791.182139740002 2.3851323369567897e-15
6812.891287670147 4.895274457156245e-15
6925.384145126354 1.3924208266457332e-15
6943.146175251019 5.011973081998344e-15
6968.802440986645 5.014430377285335e-15
6986.564471111309 2.651652273585666e-15
6994.458706722271 4.328724975149877e-15
7020.114972457897 1.6229640785861856e-15
7049.718355999004 6.40589866158221e-15
7063.533268318188 6.862893734559885e-15
7077.348180637371 7.141388980312857e-15
7097.083769664776 5.433208346385824e-15
7104.978005275738 7.440875414197715e-15
7124.713594303143 7.528145070233968e-15
7138.528506622326 9.15893390232202e-15
7156.29053674699 1.9534177591041205e-14
7172.079007968914 1.1861318493731103e-14
7203.655950412762 5.584631416482702e-15
7215.497303829205 6.185712504979753e-15
7231.285775051128 4.477198833070797e-15
7256.942040786755 1.1558477290783026e-14
7296.413218841564 1.05206226755994e-14
7306.281013355267 1.0412970619236359e-14
7324.043043479931 1.4809505642647344e-14
7337.857955799114 1.2198014405934326e-14
7379.302692756664 2.993045312347232e-14
7412.8531941032525 1.6767133444330385e-14
7438.509459838879 7.929836495077346e-15
7454.2979310608025 1.4707869909266746e-14
7470.086402282726 9.022568896127616e-15
7477.980637893688 9.034486384710055e-15
7487.848432407391 9.142144510726624e-15
7501.663344726574 1.1882368560579448e-14
7515.478257045757 1.569110760089264e-14
7543.108081684124 9.739692153524058e-15
7552.975876197826 7.967377811243409e-15
7570.737906322491 6.796303505704696e-15
7578.632141933453 7.401502275304113e-15
7687.177881584179 4.107822036248729e-15
7708.887029514324 3.860729592467111e-15
7732.56973634721 6.13831160134968e-15
7740.463971958172 6.436206197908607e-15
7766.120237693798 7.844225191955472e-15
7787.829385623943 7.567740477573258e-15
7795.723621234905 7.571118050430968e-15
7807.564974651348 7.385074183602495e-15
7819.406328067791 9.326844229583885e-15
7843.089034900677 6.63673141334099e-15
7868.745300636303 1.2613033240334023e-14
7892.428007469189 9.80847071414841e-15
7906.242919788372 9.714739628683286e-15
7939.79342113496 1.8799282357645885e-15
7959.529010162365 7.509683943578792e-15
7983.211716995251 1.0577305737973636e-14
8002.9473060226555 1.2487083782914463e-14
8020.70933614732 8.001735066351467e-15
8038.471366271984 5.896932588929895e-15
8064.12763200761 6.289359797775408e-15
8079.916103229534 4.2927819151033676e-15
8113.466604576122 7.405353643583901e-15
8127.281516895306 8.492524305316187e-15
8141.096429214489 2.158726076825928e-15
8448.971618042004 8.458208543604672e-15
8831.842045173658 inf
8845.656957492842 5.263354376954662e-15
8859.471869812025 2.0633575618224674e-14
8871.313223228468 2.4495596537124233e-14
8891.048812255873 5.397879582438795e-14
8924.59931360246 8.193399445963196e-14
8936.440667018904 7.736640588445204e-14
8954.202697143568 9.78922567348038e-14
8968.017609462751 1.0937078467788067e-13
