# Lambda Flux
3720.3406653701795 8.798610099493664e-17
3730.2641777097715 3.037586396068735e-16
3738.202987581445 1.5413838089018013e-16
3771.942929536058 inf
3785.8358468114866 inf
3803.698169022752 inf
3813.621681362344 inf
3869.1933504640597 1.0401675080120797e-15
3893.0097800790804 inf
3968.4284738599795 2.6602862436082186e-16
4101.4035392105125 6.151407231809989e-17
4341.552537828638 1.4210643289428975e-16
4363.384264975741 4.925040493453646e-16
4641.242610484317 inf
4861.54458442326 6.830105396237729e-16
4958.795005351261 2.266171209202906e-15
4976.657327562527 1.0346154057053415e-17
5006.427864581303 7.490154402540221e-15
5754.66069498654 3.057391380532211e-16
5875.727545529562 5.360692021456198e-16
6312.36208847161 5.805057956030069e-17
6562.434599429329 1.507879837553746e-14
6582.281624108513 1.904720934394607e-15
6679.532045036514 inf
