# Lambda Flux
3720.3406653701795 8.635743341378606e-17
3730.2641777097715 2.6986504265276276e-16
3738.202987581445 1.0830597202169496e-16
3771.942929536058 inf
3785.8358468114866 6.289301154136871e-17
3803.698169022752 inf
3813.621681362344 inf
3869.1933504640597 8.826318241599229e-16
3893.0097800790804 inf
3968.4284738599795 2.5033622171411786e-16
4101.4035392105125 7.651471605427454e-17
4341.552537828638 1.3460540003302004e-16
4363.384264975741 4.3883304387671105e-16
4641.242610484317 -5.56992336186985e-17
4861.54458442326 6.04011735168219e-16
4958.795005351261 1.9909793977992453e-15
4976.657327562527 1.0346214093836629e-17
5006.427864581303 6.525924449440638e-15
5754.66069498654 2.738190801399639e-16
5875.727545529562 4.868853325934168e-16
6312.36208847161 1.0952346041135278e-16
6562.434599429329 1.2622435997403732e-14
6582.281624108513 1.6698235135119326e-15
6679.532045036514 6.081209330012566e-17
