# Lambda Flux
3710.8858494949295 3.456452547229498e-15
3724.824124951358 7.947739973880853e-15
3764.647769112583 inf
3794.515502233501 inf
3864.206879515644 5.255665078003627e-15
3884.118701596256 inf
3965.757172126766 6.7651848907841e-16
4099.1663800668675 inf
4338.108245034214 6.067229887100526e-16
4360.011249322887 -1.4200649867977257e-16
4682.582767028805 2.3240409814431524e-15
4857.806801338193 5.933174189953403e-15
4955.374729533192 4.432536357875292e-14
4973.295369405743 1.9621866716939848e-15
5003.1631025266615 1.4467035806824435e-13
5196.3077767086 -1.5182503157076434e-15
5407.373090763089 -1.795431508584164e-15
5572.64121403217 -2.0250959451324313e-15
5749.856430549618 -1.840925663529452e-15
5871.318545241354 inf
6297.431537766454 1.6927575229118812e-15
6309.378631014822 -1.9356375469557602e-15
6363.140550632475 inf
6548.320495982169 2.9349085714358045e-14
6562.258771438597 1.1325449214979426e-13
6584.161775727271 9.722467795982299e-14
6717.570983667372 5.808932863322997e-15
6733.500441331862 8.349712090354352e-15
