Line Lambda Flux EW FWHM
5006 5006.84 1.0069699196178894e-13 -274.2742753687178 5.566339938817164
5200 5200.0 -3.7651569480096065e-15 6.6079111943201285 6.252760384368405
5517 5517.66 -2.663341197293071e-15 6.006393063014715 6.558509876880648
5537 5537.6 -2.431267396760799e-15 5.80578079982479 6.5282031859650305
5575 5575.0 -2.3984162302400826e-15 3.753520637205713 6.267225808699838
5754 5754.6 -1.8685138743398388e-15 2.737976835446885 6.25342924179617
5875 5875.66 nan -1.6028182582339192 6.122674248912528
6300 6300.3 2.8341468970774276e-15 -11.870378632255072 5.9287129343740075
6312 6312.1 0.0 0.595924427396701 6.317759768109165
6363 6363.77 nan -1.4726637487093228 6.169557260099112
6548 6548.1 2.1655539379781196e-14 -79.58523799304206 5.666391920662194
6562 6562.77 7.525648803905965e-14 -303.53751721689656 5.7321886269977105
6583 6583.5 6.079634989775675e-14 -241.83427564475178 5.592807736914953
6678 6678.16 nan -0.459235485723992 6.400971521006686
6716 6716.44 5.614141004953617e-15 -22.353652434190366 5.910281370932998
6730 6730.82 6.110017908208519e-15 -24.17984836211896 5.831503120299703
7005 7005.67 -1.095378896576472e-15 2.154350198839676 6.482410925075459
7065 7065.25 nan -0.19357488476642346 6.327518265823938
7135 7135.8 6.111954115726593e-15 -23.10062295997119 5.787012785073622
7319 7319.99 2.291385507379486e-15 -8.271748675244886 6.123628782651787
7329 7329.67 1.839881197889423e-15 -6.573223618284494 6.255855771425532
7281 7281.35 -8.403076627411842e-16 1.8179501970230707 6.472286809435672
7751 7751.12 1.2404053353471761e-15 -4.550857660228363 6.124409900487779
8045 8045.63 nan 0.3320858488652035 6.490211822698942
8237 8237.15 2.7426307708288233e-16 -1.1338918539230216 6.308981922838978
8413 8413.32 -3.7080474290735916e-16 0.9164484094902039 6.482433554276398
8467 8467.25 -3.1482565338121943e-16 0.8624313542515296 6.472764056759975
8581 8581.87 nan -0.6818754870327199 6.456774838935405
8598 8598.39 2.8948108711868364e-16 -1.20251109843425 6.410966385568779
8665 8665.02 4.845278347637459e-16 -2.035400862554466 6.375920084583309
8727 8727.12 6.240031108212716e-16 -2.459430331800735 6.452194947763471
8750 8750.47 1.1274213880930763e-15 -4.861777305533235 6.327231694930666
8862 8862.78 2.0362721888778452e-15 -9.527365415484375 6.2988784407822465
